83	in	4	79	79
564	in	8	217	217
827	in	6	164	164
1008	in	12	225	225
947	in	14	189	45
29	in	11	64	64
544	in	12	312	312
602	in	6	39	39
364	in	13	234	234
1057	in	3	19	19
847	in	10	182	182
1087	in	4	211	211
495	in	8	190	46
490	in	9	193	193
936	in	3	115	115
730	in	4	78	78
923	in	9	45	191
951	in	7		192
512	in	3	194	194
48	in	8		
1001	in	11	258	258
868	in	12	193	47
1066	in	8		165
857	in	2		194
45	in	3		31
133	in	7	44	46
1018	in	4	3	3
91	in	17	195	
1083	in	6	164	164
150	in	7		196
1295	in	2		
689	in	12		197
1021	in	5	179	179
159	in	6	248	248
1220	in	4	48	158
386	in	13	261	261
1121	in	9		198
463	in	9	299	299
8	in	12	49	
668	in	14	213	213
398	in	6		
1065	in	5	199	
736	in	5	50	127
860	in	4	24	24
1140	in	9	285	285
1067	in	4	19	19
10092403	in	2	6	6
675	in	7	122	122
266	in	5	116	116
407	in	8	179	51
1084	in	7	129	129
300	in	7	258	258
760	in	6	147	147
880	in	4	200	52
749	in	4	272	272
94	in	7		
122	in	9	229	229
68	in	12	53	201
123	in	15	5	202
158	in	3	41	154
1230	in	2		
686	in	10	249	249
1251	in	6	281	281
1139	in	10	203	26
473	in	9	144	144
1002	in	30	54	
591	in	5	159	159
910	in	10		
876	in	3	215	215
297	in	7	55	175
845	in	12	19	19
456	in	10	229	229
72	in	9		134
740	in	7	249	249
1082	in	4		
1019	in	6	302	302
1411	in	2	32	32
1128	in	7	181	181
885	in	7		
1109	in	2		204
464	in	5	147	147
360	in	3	214	214
375	in	8	20	56
585	in	2	103	103
979	in	3		205
411	in	6	302	302
583	in	9	199	199
143	in	3		
999	in	6	44	44
1311	in	6	57	58
573	in	7	206	59
10092402	in	5		
1256	in	2	84	84
1191	in	4	101	101
886	in	5	60	207
335	in	11	61	
223	in	8	161	161
356	in	13	7	7
194	in	14	5	5
1276	in	5	58	58
1145	in	9	229	229
1115	in	3	156	
1277	in	2		180
9	in	2	75	75
840	in	7	208	62
578	in	11	148	63
1327	in	4	289	289
530	in	7		130
334	in	11	267	267
1237	in	12	35	209
887	in	9	280	280
273	in	9	311	311
822	in	3	217	217
1226	in	2	210	
1409	in	2		211
1035	in	8	233	233
807	in	3	237	237
134	in	5	247	247
972	in	7	92	92
524	in	2		212
830	in	2		
1206	in	11	64	213
231	in	2		214
195	in	7	206	51
177	in	5	157	157
67	in	6	207	207
63	in	4	151	151
343	in	9	192	192
114	in	10	289	289
348	in	14		
1165	in	4		215
540	in	11		137
43	in	8	309	309
629	in	7	285	285
560	in	3	10	10
57	in	6	228	228
555	in	10	195	
450	in	5	169	169
782	in	9	64	64
4	in	7		216
1013	in	9	209	65
1238	in	5	217	30
344	in	14	196	196
155	in	6		
227	in	10	258	258
1350	in	15	191	64
1347	in	6	176	176
61	in	2		218
197	in	7	7	7
826	in	4	200	200
985	in	3	219	219
756	in	4		219
861	in	2	23	23
287	in	14	66	189
916	in	3	246	246
1166	in	9	217	217
180	in	6	53	116
217	in	8	281	281
970	in	2	101	101
459	in	3	166	67
263	in	8	185	
855	in	7	158	158
1211	in	11	220	
552	in	2	221	
339	in	7		222
785	in	9	130	130
758	in	7	130	130
1104	in	2	210	210
589	in	7	289	289
828	in	7	298	298
638	in	2		
1328	in	7	47	47
1334	in	2		
313	in	6	304	304
363	in	3	215	215
1365	in	8	176	176
1356	in	4		
1142	in	4		
753	in	2		
267	in	10	288	288
779	in	2	223	
699	in	7		224
683	in	10	272	272
794	in	2		225
384	in	7	164	164
75	in	8		
1086	in	2		
707	in	7	170	
734	in	8	68	226
1096	in	4	217	217
10086601	in	10		227
935	in	3		228
676	in	6	222	222
234	in	13	229	
545	in	6	305	305
920	in	4	217	217
1284	in	6	230	
624	in	3	62	62
385	in	8	222	222
178	in	7	171	171
1248	in	3	86	86
1014	in	7	231	
1373	in	3	50	50
146	in	9	69	
95	in	5		232
1136	in	6	70	3
987	in	7	233	38
922	in	9	234	
1162	in	11	234	234
90	in	5		217
274	in	11		
1171	in	2		235
284	in	9		187
523	in	6	112	112
763	in	6	178	
401	in	2		
926	in	5	200	200
929	in	9	249	249
823	in	10	71	
1217	in	7	47	47
277	in	6	281	281
761	in	2		
66	in	5	314	314
786	in	9	176	176
103	in	8		72
1260	in	4		
874	in	7	172	172
693	in	12	47	124
713	in	14	225	225
1361	in	12	209	209
328	in	7	190	190
1195	in	3	107	107
418	in	8	222	222
666	in	9	181	181
612	in	7	192	192
1129	in	7	73	164
950	in	4	14	14
1188	in	2	38	38
1182	in	7	236	57
587	in	8	236	236
510	in	10	222	222
938	in	8	285	285
130	in	7		
428	in	5	4	4
1282	in	2	29	29
780	in	9	285	285
775	in	3	65	65
971	in	4	52	52
1412	in	5	69	69
634	in	9	229	229
754	in	8	16	16
844	in	12		203
100	in	3		237
1235	in	7	285	285
204	in	3		
251	in	12	74	238
888	in	10		239
553	in	12	281	281
216	in	4		
644	in	9	240	
302	in	2	241	75
720	in	10	193	193
535	in	7	33	33
1352	in	5	76	242
209	in	7	77	219
1192	in	15	152	152
702	in	8	217	217
834	in	6	130	130
1186	in	8		
1261	in	6	243	78
412	in	2		
264	in	7	79	222
1120	in	4	223	223
531	in	4	80	
